id,gender,ocp_cd,age
1,2,9.0,5
2,2,3.0,4
3,2,1.0,3
4,2,3.0,5
5,2,9.0,4
6,1,3.0,3
7,1,3.0,5
8,2,9.0,3
9,1,9.0,4
10,1,3.0,3
11,1,9.0,4
12,2,3.0,4
13,2,3.0,3
14,2,3.0,5
15,2,3.0,3
16,2,3.0,4
17,2,9.0,3
18,1,3.0,4
19,1,9.0,4
20,2,9.0,3
21,2,3.0,3
22,1,3.0,4
23,2,9.0,4
24,1,9.0,4
25,1,9.0,5
26,1,3.0,4
27,2,3.0,5
28,2,9.0,4
29,2,9.0,3
30,2,3.0,5
31,2,9.0,3
32,1,9.0,3
33,2,3.0,3
34,1,9.0,3
35,1,3.0,2
36,1,3.0,5
37,2,3.0,4
38,2,3.0,4
39,2,9.0,4
40,1,3.0,4
41,1,9.0,4
42,2,3.0,3
43,2,9.0,3
44,1,3.0,4
45,1,9.0,4
46,2,9.0,3
47,1,9.0,5
48,2,9.0,5
49,1,3.0,5
50,2,9.0,4
51,2,9.0,3
52,2,9.0,4
53,2,3.0,4
54,2,9.0,4
55,2,9.0,5
56,1,3.0,4
57,1,9.0,4
58,1,9.0,3
59,2,3.0,4
60,2,3.0,4
61,2,9.0,5
62,2,3.0,4
63,2,9.0,3
64,2,3.0,3
65,2,9.0,4
66,2,3.0,5
67,2,3.0,3
68,1,9.0,3
69,1,3.0,4
70,1,3.0,4
71,1,13.0,4
72,2,3.0,3
73,1,9.0,4
74,1,4.0,5
75,2,3.0,5
76,1,3.0,3
77,2,9.0,4
78,1,3.0,3
79,2,3.0,4
80,2,9.0,4
81,1,9.0,4
82,2,3.0,4
83,2,3.0,4
84,1,9.0,4
85,1,9.0,4
86,1,3.0,3
87,2,9.0,5
88,2,3.0,2
89,2,9.0,3
90,1,3.0,6
91,1,7.0,3
92,1,9.0,3
93,2,3.0,3
94,2,9.0,6
95,2,9.0,3
96,2,3.0,4
97,2,1.0,3
98,2,9.0,3
99,2,3.0,3
100,2,3.0,4
101,2,9.0,3
102,2,3.0,4
103,2,9.0,3
104,1,9.0,5
105,1,3.0,4
106,2,9.0,4
107,1,9.0,3
108,1,3.0,4
109,1,3.0,4
110,2,3.0,5
111,2,3.0,4
112,2,9.0,3
113,2,3.0,3
114,2,13.0,5
115,2,9.0,5
116,2,9.0,3
117,1,3.0,3
118,2,3.0,5
119,2,4.0,4
120,1,3.0,3
121,1,3.0,4
122,2,9.0,5
123,1,3.0,4
124,1,3.0,3
125,2,4.0,5
126,1,3.0,3
127,2,9.0,3
128,2,9.0,4
129,1,9.0,3
130,1,3.0,4
131,2,3.0,3
